7zip 24.09-3
aalib 1.4rc5-18
abseil-cpp 20240722.0-1
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.14.0-1
alsa-lib 1.2.13-1
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
antiword 0.37-11
aom 3.11.0-1
appstream 1.0.4-1
arandr 0.1.11-4
arc-gtk-theme 20221218-2
archlinux-keyring 20241203-1
argon2 20190702-6
asciiquarium 1.1-7
aspnet-runtime 8.0.11.sdk111-1
at-spi2-core 2.54.0-2
atkmm 2.28.4-1
attr 2.5.2-1
audit 4.0.2-3
autoconf 2.72-1
automake 1.17-1
autorandr 1.15-1
avahi 1:0.8+r194+g3f79789-3
aws-cli 1.36.29-1
ayatana-ido 0.10.4-1
babl 0.1.110-1
base 3-2
base-devel 1-2
bash 5.2.037-1
bat 0.24.0-2
bcg729 1.1.1-2
bind 9.20.4-2
binutils 2.43+r4+g7999dae6961-1
bison 3.8.2-8
blas 3.12.0-5
blueman 2.4.3-2
bluez 5.79-1
bluez-libs 5.79-1
bluez-utils 5.79-1
boost-libs 1.86.0-4
bridge-utils 1.7.1-2
brightnessctl 0.5.1-3
brotli 1.1.0-3
bsd-games 3.3-3
bspwm-git 0.9.10.r51.gaf3bd8b-1
btop 1.4.0-4
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.4-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.107-1
ca-certificates-utils 20240618-1
cairo 1.18.2-2
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
cava 0.10.2-2
cava-debug 0.10.2-2
cblas 3.12.0-5
cbonsai 1.3.1-3
cbonsai-debug 1.3.1-3
cdparanoia 10.2-9
cfitsio 1:4.5.0-1
chromium 131.0.6778.204-1
clucene 2.3.3.4-15
containerd 2.0.1-1
coreutils 9.5-2
cowsay 3.8.4-1
cpio 2.15-2
crypto++ 8.9.0-1
cryptsetup 2.7.5-1
curl 8.11.1-3
customtkinter 5.2.1-1
dav1d 1.5.0-1
db 6.2.32-1
db5.3 5.3.28-5
dbeaver 24.3.1-1
dbus 1.16.0-1
dbus-broker 36-4
dbus-broker-units 36-4
dconf 0.40.0-3
debugedit 5.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.29-1
dhcpcd 10.1.0-1
dialog 1:1.3_20240619-2
diffutils 3.10-1
discord 0.0.78-1
displaylink 6.0-0
displaylink-debug 6.0-0
dkms 3.1.4-1
dnsmasq 2.90-2
dnssec-anchors 20190629-4
docker 1:27.3.1-1
docker-compose 2.32.1-1
dosfstools 4.2-5
dotnet-host 8.0.11.sdk111-1
dotnet-runtime 8.0.11.sdk111-1
dotnet-runtime-6.0 6.0.36.sdk136-1
dotnet-sdk 8.0.11.sdk111-1
dotnet-targeting-pack 8.0.11.sdk111-1
double-conversion 3.3.0-2
downgrade 11.3.0-1
duktape 2.7.0-7
dunst 1.12.1-1
dust 1.1.1-1
e2fsprogs 1.47.2-1
edex-ui-bin 2.2.8-1
efibootmgr 18-3
efivar 39-1
electron28 28.3.3-3
electron30 30.5.1-3
electron32 32.2.7-1
erfa 2.0.1-1
evdi-debug 1.14.6-0
evdi-git 1.14.6.r0.gb0fdc34-1
evdi-git-debug 1.14.6.r0.gb0fdc34-1
exo 4.20.0-2
expac 10-11
expat 2.6.4-1
eza 0.20.15-1
fakeroot 1.36.2-1
feh 3.10.3-1
ffmpeg 2:7.1-5
ffmpeg4.4 4.4.5-2
fftw 3.3.10-7
file 5.46-3
filesystem 2024.11.21-1
findutils 4.10.0-2
firefox 133.0.3-2
flac 1.4.3-2
flameshot 12.1.0-5
flex 2.6.4-5
fontconfig 2:2.15.0-2
freeglut 3.6.0-1
freetype2 2.13.3-1
fribidi 1.0.16-1
fuse-common 3.16.2-1
fuse2 2.9.9-5
fzf 0.57.0-1
gawk 5.3.1-1
gc 8.2.8-2
gcc 14.2.1+r134+gab884fffe3fc-2
gcc-libs 14.2.1+r134+gab884fffe3fc-2
gcr-4 4.3.0-1
gdb 15.2-4
gdb-common 15.2-4
gdbm 1.24-1
gdk-pixbuf2 2.42.12-2
geckodriver 0.35.0-1
geos 3.13.0-1
gettext 0.23.1-2
giflib 5.2.2-1
git 2.47.1-1
github-cli 2.64.0-1
glib-networking 1:2.80.0-3
glib2 2.82.4-2
glibc 2.40+r16+gaa533d58ff-2
glibmm 2.66.7-1
glibmm-2.68 2.82.0-1
glslang 15.0.0-2
glu 9.0.3-2
gmp 6.3.0-2
gnome-autoar 0.4.5-1
gnome-desktop-4 1:44.1-1
gnome-desktop-common 1:44.1-1
gnu-free-fonts 20120503-8
gnulib-l10n 20241231-1
gnupg 2.4.7-1
gnutls 3.8.8-1
go 2:1.23.4-1
gobject-introspection-runtime 1.82.0-2
gperftools 2.16-1
gpgme 1.24.1-3
gpm 1.20.7.r38.ge82d1a6-6
gptfdisk 1.0.10-1
graphene 1.10.8-2
graphite 1:1.3.14-4
greetd 0.10.3-1
greetd-agreety 0.10.3-1
greetd-tuigreet 0.9.1-1
grep 3.11-1
groff 1.23.0-7
grub 2:2.12-3
grub-customizer 5.2.5-1
gsettings-desktop-schemas 47.1-1
gsettings-system-schemas 47.1-1
gsm 1.0.22-2
gssdp 1.6.3-2
gst-libav 1.24.10-2
gst-plugins-bad-libs 1.24.10-2
gst-plugins-base 1.24.10-2
gst-plugins-base-libs 1.24.10-2
gst-plugins-good 1.24.10-2
gstreamer 1.24.10-2
gtest 1.15.2-1
gtk-update-icon-cache 1:4.16.12-1
gtk2 2.24.33-5
gtk3 1:3.24.43-4
gtk4 1:4.16.12-1
gtkmm 1:2.24.5-5
gtkmm-4.0 4.16.0-1
gtkmm3 3.24.9-1
guile 3.0.10-1
gupnp 1:1.6.7-1
gupnp-igd 1.6.0-1
gzip 1.13-4
harfbuzz 10.1.0-1
harfbuzz-icu 10.1.0-1
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
hostapd 2.11-4
htop 3.3.0-3
http-parser 2.9.4-2
hunspell 1.7.2-2
hwdata 0.391-1
hwloc 2.11.2-1
hyphen 2.8.8-6
iana-etc 20241206-1
icu 75.1-2
iftop 1.0pre4-6
imagemagick 7.1.1.43-1
imath 3.1.12-2
imlib2 1.12.3-2
inetutils 2.5-1
iniparser 4.2.4-1
inxi 3.3.36.1-1
iproute2 6.12.0-1
iptables 1:1.8.10-2
iputils 20240905-1
ipython 8.31.0-1
iso-codes 4.17.0-1
iw 6.9-1
jack2 1.9.22-1
jansson 2.14-4
java-environment-common 3-5
java-runtime-common 3-5
jbigkit 2.1-8
jdk-openjdk 23.0.1.u0-1
jemalloc 1:5.3.0-5
john 1.9.0.jumbo1-11
jq 1.7.1-2
json-c 0.18-1
json-glib 1.10.6-1
jsoncpp 1.9.6-3
kbd 2.7.1-1
keyutils 1.6.3-3
kguiaddons5 5.116.0-1
kitty 0.38.1-1
kitty-shell-integration 0.38.1-1
kitty-terminfo 0.38.1-1
kmod 33-3
krb5 1.21.3-1
kubectl 1.32.0-1
l-smash 2.14.5-4
lame 3.100-5
lapack 3.12.0-5
lcms2 2.16-1
ldns 1.8.4-1
less 1:668-1
lib32-glibc 2.40+r16+gaa533d58ff-2
lib32-libunwind 1.8.1-1
lib32-libx11 1.8.10-1
lib32-libxau 1.0.11-2
lib32-libxcb 1.17.0-1
lib32-libxdamage 1.1.6-2
lib32-libxdmcp 1.1.5-1
lib32-libxfixes 6.0.1-2
lib32-xz 5.6.3-1
lib32-zlib 1.3.1-2
libabw 0.1.3-4
libadwaita 1:1.6.2-1
libappindicator-gtk2 12.10.0.r298-4
libappindicator-gtk3 12.10.0.r298-4
libarchive 3.7.7-1
libass 0.17.3-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatomic_ops 7.8.2-1
libavc1394 0.5.4-6
libayatana-appindicator 0.5.93-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-3
libbluray 1.3.4-2
libbpf 1.5.0-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libcaca 0.99.beta20-5
libcamera 0.3.2-2
libcamera-ipa 0.3.2-2
libcanberra 1:0.30+r2+gc0620e4-4
libcap 2.71-1
libcap-ng 0.8.5-3
libcdio 2.1.0-4
libcdio-paranoia 10.2+2.0.2-1
libcdr 0.1.8-1
libcloudproviders 0.3.6-1
libcmis 0.6.2-2
libcolord 1.4.7-2
libconfig 1.7.3-3
libcups 2:2.4.11-1
libcurl-gnutls 8.11.1-3
libdaemon 0.14-6
libdatachannel 0.21.2-2
libdatrie 0.2.13-4
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk2 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libdc1394 2.2.7-1
libdecor 0.2.2-1
libdeflate 1.23-1
libdovi 3.3.1-1
libdrm 2.4.124-1
libdv 1.0.0-11
libdvdnav 6.1.1-2
libdvdread 6.1.3-2
libe-book 0.1.3-16
libedit 20240808_3.1-1
libei 1.3.0-1
libelf 0.192-2
libepoxy 1.5.10-3
libepubgen 0.1.1-5
libetonyek 0.1.12-1
libev 4.33-3
libevdev 1.13.3-1
libevent 2.1.12-4
libexif 0.6.24-3
libexttextcat 3.4.7-1
libfabric 2.0.0-1
libffi 3.4.6-1
libfontenc 1.1.8-1
libfreehand 0.1.2-5
libgcrypt 1.11.0-2
libgdiplus 6.1-2
libgirepository 1.82.0-2
libgit2 1:1.8.4-1
libglvnd 1.7.0-1
libgpg-error 1.51-1
libgtop 2.41.3-2
libgudev 238-1
libice 1.1.2-1
libidn2 2.3.7-1
libiec61883 1.2.0-8
libimagequant 4.3.3-1
libinput 1.27.1-1
libisl 0.27-1
libixion 0.19.0-6
libjpeg-turbo 3.1.0-1
libjuice 1.5.2-1
libjxl 0.11.1-1
libksba 1.6.7-1
liblangtag 0.6.7-1
libldap 2.6.9-1
liblqr 0.4.3-1
libluv 1.48.0_2-1
libmaxminddb 1.11.0-1
libmd 1.1.0-2
